LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1738271573.969716,560282.000,22560,1,GY,1,100,-0.366
1738271574.009717,560322.000,22581,3,GY,1,100,0.854
1738271574.049719,560362.000,22581,3,GY,1,100,1.587
1738271574.089721,560402.000,22581,3,GY,1,100,-1.038
1738271574.129722,560442.000,22598,2,GY,1,100,-1.221
1738271574.169724,560482.000,22598,2,GY,1,100,0.610
1738271574.209726,560522.000,22614,3,GY,1,100,1.099
1738271574.249727,560562.000,22614,3,GY,1,100,0.183
1738271574.289729,560602.000,22614,3,GY,1,100,0.763
1738271574.329730,560642.000,22631,2,GY,1,100,1.678
1738271574.369732,560682.000,22631,2,GY,1,100,1.617
1738271574.409734,560722.000,22647,3,GY,1,100,1.343
1738271574.449735,560762.000,22647,3,GY,1,100,0.671
1738271574.489737,560802.000,22647,3,GY,1,100,0.305
1738271574.529738,560842.000,22665,2,GY,1,100,-0.488
1738271574.569740,560882.000,22665,2,GY,1,100,-0.763
1738271574.609742,560922.000,22680,3,GY,1,100,0.031
1738271574.649743,560962.000,22680,3,GY,1,100,0.885
1738271574.689745,561002.000,22680,3,GY,1,100,1.129
1738271574.729747,561042.000,22697,2,GY,1,100,0.732
1738271574.769748,561082.000,22697,2,GY,1,100,0.641
1738271574.809750,561122.000,22713,3,GY,1,100,0.732
1738271574.849751,561162.000,22713,3,GY,1,100,0.031
1738271574.889753,561202.000,22713,3,GY,1,100,-0.549
1738271574.929755,561242.000,22731,3,GY,1,100,-0.031
1738271574.969756,561282.000,22731,3,GY,1,100,0.275
1738271575.009758,561322.000,22731,3,GY,1,100,0.519
1738271575.049759,561362.000,22746,2,GY,1,100,0.153
1738271575.089761,561402.000,22746,2,GY,1,100,-0.031
1738271575.129763,561442.000,22763,3,GY,1,100,0.183
1738271575.169764,561482.000,22763,3,GY,1,100,0.275
1738271575.209766,561522.000,22763,3,GY,1,100,-0.092
1738271575.249768,561562.000,22780,2,GY,1,100,0.397
